Predicted Labels,Review
OR,"6.1 inches screen for a phone is pretty good, feels heavy, but all that pales in comparison after the actual features of the phone are unlocked.I was informed that phone can be tracked even when switched off as per the new ios 13 update, camera quality is better , both front and back , fast charging too is great, i like the idea that the body is aluminium made as compared to the latest which after checking and reviewing holds up better after drop tests, face id recognition is great, but need back up in the form of app lock for unauthorized usage.Overall a great phone, at a amazing price, do not miss the chance to buy it, even if you feel it is heavy on your wallet, you wont get such a good phone loaded with features else where.Its like how the iphone 7 was the benchmark for future models , same goes for this phone."
OR,"Excellent deals offered by Amazon 38k after bank discount.......best iPhone for every aspect.......good camera ...... battery backup excellent......... looks elegant.....feels premium in hand.....and  one think i said to all , though it's a 720p display but display is excellent quality.......there is no panicked about it....and also played 1080p video in YouTube.......so .....go for it.......this is best budget iPhone at this price point......thank you Amazon........"
CG,I bought 128g  at 57k performing much faster and more smoother experience on an iPhone. Battery life is above average. app switching is lightning fast.
CG,I love it <3
CG,I phone always like a dream phone... purchased this  in diwali sale in 38 k rs. My previous phone was s8 moved to xr and no regrates.
CG,Thank you amazon i got iphone XR 64GB black variant for 38000/- on big billion day sale
OR,"Top end model IPhone XR with the Price of 42k😎 Extremely satisfied... I was an android user for 6yrs and this was my first upgrade to iPhone.. Battery Standby is just next to impossible in any smart phones these days, Face ID fab!(One dis - If I covet half of my face during bike riding, it doesn’t recognise me😂)"
OR,"Good phone. Go for it if you want an iPhone experience. Truth be told, I do miss a finger print sensor. But, at updating to iOS 13 the performance of the Face ID head become significantly faster."
CG,"I will not recommend anyone to buy XR,if you are considering iphone from camera perspective."
OR,"There is nothing to dislike about this phone. I forgot Android after using this. This is superior class,u ll feel it when you hold it. Don't be a sad face for 3GB Ram, it's better than 8GB Android. Facelock can recognize you in dark. There is no finger print scanner. But still it's no issues"
CG,First of all got it for 38000.  Great at this price but or maximum at 45k nothing more than that for this phone.
OR,I was previously a user of iPhone SE and was wonderstruck with its abilities. But due to battery life had to look at a changeover. However looking at the price was little suspicious whether the phone would be worth for the money. Here are the pros n cons...
OR,"This phone is good , i got it at Rs.45000 during this diwali sale, but after using this i was bound to think on the various aspects : considering the Ram and ROM ( 3 GB and 64 GB ) in this case , is the price ok , i felt that its really overpriced, we can get more features in Phones like Redmi Note 8 pro which is priced at around 16K ( discounts and bank offer are separate) this means we are paying for brand name or goodwill price simply to Apple. Then why we are not going for One plus models made in china as Apple i phone is also made in china for your information."
OR,"This is my first iPhone after 10 years of being an android user. This review is after using this phone for 2 months. The performance has been top notch, battery life is very good considering  most of my days are moderate to heavy usage I still find 20-30 % battery the next day. Camera is good too but at time you miss the secondary lens for portraits and portraits don’t work on objects."
